武器名称,steam价格,磨损程度,收藏品来源
P90 | Elite Build (Battle-Scarred),Starting at:$0.57 USD$0.55 USD,N/A,未知来源
Dual Berettas | Hemoglobin (Factory New),Starting at:$15.19 USD$14.53 USD,N/A,未知来源
StatTrak™ Dual Berettas | Panther (Battle-Scarred),Starting at:$6.40 USD$6.13 USD,N/A,未知来源
FAMAS | Prime Conspiracy (Well-Worn),Starting at:$165.00 USD$157.83 USD,N/A,未知来源
StatTrak™ MAC-10 | Heat (Factory New),Starting at:$34.81 USD$33.30 USD,N/A,未知来源
Galil AR | Cerberus (Field-Tested),Starting at:$32.03 USD$30.64 USD,N/A,未知来源
StatTrak™ Negev | Prototype (Minimal Wear),Starting at:$0.85 USD$0.82 USD,N/A,未知来源
SCAR-20 | Green Marine (Battle-Scarred),Starting at:$0.39 USD$0.38 USD,N/A,未知来源
G3SG1 | Stinger (Well-Worn),Starting at:$1.03 USD$0.99 USD,N/A,未知来源
Tec-9 | Titanium Bit (Factory New),Starting at:$8.29 USD$7.93 USD,N/A,未知来源
